id,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],failure_probability,risk_level
20376,300.4,309.7,1383,51.1,147,0.00338478124454074,Low
129517,297.2,308.8,1451,38.6,0,0.00338478124454074,Low
27475,302.3,311.0,1609,31.0,127,0.00338478124454074,Low
105314,301.9,310.9,1486,41.6,37,0.00338478124454074,Low
26401,300.4,309.8,1314,42.4,146,0.00338478124454074,Low
71171,302.3,311.5,1395,44.0,134,0.00338478124454074,Low
122974,297.5,308.5,1442,46.7,137,0.00338478124454074,Low
120830,302.1,310.6,1412,46.9,93,0.00338478124454074,Low
53010,301.2,310.7,1486,41.3,5,0.00338478124454074,Low
30441,297.5,308.6,1552,42.4,68,0.00338478124454074,Low
1418,297.4,308.5,1557,48.6,75,0.00338478124454074,Low
79875,301.2,310.4,1951,21.4,114,0.00338478124454074,Low
132028,298.8,309.9,1563,29.0,51,0.00338478124454074,Low
67391,303.3,311.4,1312,51.6,196,0.00338478124454074,Low
104975,300.5,312.0,1415,44.6,98,0.00338478124454074,Low
30909,303.6,311.7,1451,42.4,62,0.00338478124454074,Low
29468,300.7,310.8,1501,44.4,101,0.00338478124454074,Low
85894,300.9,310.8,1389,48.1,22,0.00338478124454074,Low
11523,300.5,309.7,1379,48.8,145,0.00338478124454074,Low
36455,298.5,309.7,1525,38.1,83,0.00338478124454074,Low
94793,297.3,308.1,1329,35.7,156,0.00338478124454074,Low
45746,297.5,308.6,1389,46.2,54,0.00338478124454074,Low
109746,302.5,310.3,1447,44.6,172,0.00338478124454074,Low
61242,301.4,311.0,1634,45.7,155,0.00338478124454074,Low
68529,301.7,310.6,1437,41.3,56,0.00338478124454074,Low
1065,300.4,311.2,1489,39.2,180,0.00338478124454074,Low
81198,300.1,310.1,1485,47.6,57,0.00338478124454074,Low
32255,298.3,307.8,1366,52.1,76,0.00338478124454074,Low
29820,297.6,309.6,1498,37.5,220,0.00338478124454074,Low
133841,300.4,310.6,1393,53.8,5,0.00338478124454074,Low
53818,297.2,308.1,1740,26.1,0,0.00338478124454074,Low
56387,297.7,308.1,1712,25.6,174,0.00338478124454074,Low
98812,299.2,308.5,1326,47.3,170,0.00338478124454074,Low
11181,298.5,309.6,1509,34.3,2,0.00338478124454074,Low
127311,300.9,311.6,1374,40.7,125,0.00338478124454074,Low
135831,300.0,310.1,1547,44.7,139,0.00338478124454074,Low
123450,299.8,311.2,1377,53.6,143,0.00338478124454074,Low
18061,299.6,310.9,1462,38.5,109,0.00338478124454074,Low
16613,298.1,308.8,1474,47.0,23,0.00338478124454074,Low
25565,300.9,311.0,1499,33.0,111,0.00338478124454074,Low
84986,296.8,307.7,1498,36.2,56,0.00338478124454074,Low
97559,301.2,309.5,1461,45.4,21,0.00338478124454074,Low
118380,297.5,308.7,1371,48.2,121,0.00338478124454074,Low
10369,300.8,310.7,1548,34.3,0,0.00338478124454074,Low
47753,300.3,310.2,1463,51.0,43,0.00338478124454074,Low
37101,302.0,311.2,1435,48.0,2,0.00338478124454074,Low
126162,302.3,310.8,1526,37.8,9,0.00338478124454074,Low
135998,300.3,309.3,1621,32.6,171,0.00338478124454074,Low
82859,298.3,308.9,1526,37.5,119,0.00338478124454074,Low
136292,298.9,308.7,1545,38.5,70,0.00338478124454074,Low
54884,303.6,312.9,1389,51.0,176,0.00338478124454074,Low
7442,297.4,308.9,1449,40.5,204,0.00338478124454074,Low
48117,301.7,311.1,1657,30.8,104,0.00338478124454074,Low
119543,297.4,308.4,1530,42.9,184,0.00338478124454074,Low
37419,301.8,310.7,1420,45.8,76,0.00338478124454074,Low
127932,296.8,307.8,1400,41.4,3,0.00338478124454074,Low
130133,302.4,311.8,1413,47.3,134,0.00338478124454074,Low
74454,298.0,308.7,1510,42.1,107,0.00338478124454074,Low
83470,302.8,311.2,1650,35.8,71,0.00338478124454074,Low
80904,298.0,307.9,1510,38.5,104,0.00338478124454074,Low
1109,300.6,309.4,1737,28.9,74,0.00338478124454074,Low
85518,301.7,311.3,1584,38.7,132,0.00338478124454074,Low
103784,297.4,308.8,1654,33.8,127,0.00338478124454074,Low
35114,299.1,308.6,1367,53.0,220,0.00338478124454074,Low
116070,301.0,312.2,1485,44.1,55,0.00338478124454074,Low
134051,302.4,312.0,1455,42.3,12,0.00338478124454074,Low
21014,297.7,308.9,1305,54.6,83,0.00338478124454074,Low
18596,301.4,311.0,1471,44.8,137,0.00338478124454074,Low
70636,304.2,313.4,1590,48.6,17,0.00338478124454074,Low
68525,298.8,309.9,1450,31.9,49,0.00338478124454074,Low
17327,298.7,309.7,1501,36.0,192,0.00338478124454074,Low
70505,299.3,309.1,1491,40.8,185,0.00338478124454074,Low
115253,298.4,308.0,1758,24.1,0,0.00338478124454074,Low
127327,298.9,310.6,1507,40.3,68,0.00338478124454074,Low
133369,298.1,308.1,1436,40.4,59,0.00338478124454074,Low
125701,296.9,307.9,1831,27.4,153,0.00338478124454074,Low
67014,300.0,309.5,1366,26.0,37,0.00338478124454074,Low
74020,298.9,310.0,1484,38.2,47,0.00338478124454074,Low
59582,300.2,311.6,1457,42.2,16,0.00338478124454074,Low
41524,303.9,312.9,1406,50.9,175,0.00338478124454074,Low
121316,302.1,310.0,1418,50.9,176,0.00338478124454074,Low
101309,302.3,311.0,1265,59.7,16,0.00338478124454074,Low
124373,301.1,310.7,1608,34.8,100,0.00338478124454074,Low
21733,297.8,307.7,1696,27.9,25,0.00338478124454074,Low
78098,295.8,306.5,1426,40.5,90,0.00338478124454074,Low
63381,298.1,308.7,1371,59.8,197,0.00338478124454074,Low
130514,300.8,310.7,1564,36.7,168,0.00338478124454074,Low
8265,301.0,310.7,1379,57.2,131,0.00338478124454074,Low
3901,301.6,310.6,1397,27.3,124,0.00338478124454074,Low
35426,300.5,309.8,1537,33.3,194,0.00338478124454074,Low
97490,301.7,310.0,1517,46.4,217,0.00338478124454074,Low
19713,299.7,309.2,1494,37.5,2,0.00338478124454074,Low
22306,297.5,309.5,1377,30.9,151,0.00338478124454074,Low
111314,300.6,309.8,1511,36.9,175,0.00338478124454074,Low
72091,301.2,310.6,1465,45.3,26,0.00338478124454074,Low
47720,297.4,308.1,1435,46.8,70,0.00338478124454074,Low
85041,299.2,309.1,1408,44.3,22,0.00338478124454074,Low
84747,304.1,313.2,2028,18.9,49,0.00338478124454074,Low
24033,300.3,311.6,1339,53.4,166,0.00338478124454074,Low
107270,301.4,310.6,1481,38.5,70,0.00338478124454074,Low
132521,302.2,311.9,1823,23.7,129,0.00338478124454074,Low
79712,297.4,309.3,1428,36.0,26,0.00338478124454074,Low
10052,298.6,310.0,1517,42.0,150,0.00338478124454074,Low
108694,298.9,309.2,1356,56.5,2,0.00338478124454074,Low
86119,301.0,310.4,1541,38.4,100,0.00338478124454074,Low
108795,297.0,307.9,1491,43.8,168,0.00338478124454074,Low
88497,297.1,308.4,1455,41.1,184,0.00338478124454074,Low
80994,297.5,309.4,1492,40.2,144,0.00338478124454074,Low
9886,302.3,312.0,1402,47.8,167,0.00338478124454074,Low
96761,300.2,311.8,1388,47.1,47,0.00338478124454074,Low
70556,301.0,310.8,1375,31.5,23,0.00338478124454074,Low
120545,303.0,311.2,1456,50.6,20,0.00338478124454074,Low
74478,298.9,310.1,1462,45.2,192,0.00338478124454074,Low
32805,300.8,309.9,1548,36.1,122,0.00338478124454074,Low
62257,299.3,308.3,1723,28.3,4,0.00338478124454074,Low
126929,299.3,310.5,1401,48.1,139,0.00338478124454074,Low
60425,301.0,310.9,1587,35.7,127,0.00338478124454074,Low
79929,300.7,311.1,1418,47.1,170,0.00338478124454074,Low
46468,299.0,309.9,1429,41.6,141,0.00338478124454074,Low
73478,302.2,311.9,1556,38.0,0,0.00338478124454074,Low
135983,302.3,310.2,1349,51.6,86,0.00338478124454074,Low
6345,300.3,310.4,1486,38.6,198,0.00338478124454074,Low
88766,300.8,310.9,1453,43.4,0,0.00338478124454074,Low
89713,302.3,311.0,1438,31.0,30,0.00338478124454074,Low
80180,299.1,308.8,1397,45.8,187,0.00338478124454074,Low
132708,300.9,310.8,1513,38.0,82,0.00338478124454074,Low
31559,299.4,310.0,1404,47.3,19,0.00338478124454074,Low
96120,300.1,311.4,1511,35.8,71,0.00338478124454074,Low
53184,298.8,308.5,1365,48.2,46,0.00338478124454074,Low
18627,300.9,310.6,1484,43.2,0,0.00338478124454074,Low
93567,297.5,308.6,1607,33.8,139,0.00338478124454074,Low
120585,297.5,308.6,1462,45.1,12,0.00338478124454074,Low
68253,298.4,308.9,1638,32.4,146,0.00338478124454074,Low
87026,302.3,311.8,1657,32.7,210,0.00338478124454074,Low
80012,298.5,309.5,1523,37.4,85,0.00338478124454074,Low
62734,299.8,311.2,2116,17.6,148,0.00338478124454074,Low
23204,297.8,308.8,1629,31.7,66,0.00338478124454074,Low
45546,301.3,310.4,1424,44.4,199,0.00338478124454074,Low
123409,300.0,311.5,1430,43.8,123,0.00338478124454074,Low
53543,298.1,307.9,1517,39.2,7,0.00338478124454074,Low
69255,299.2,308.9,1568,39.8,175,0.00338478124454074,Low
97421,300.6,311.7,1389,53.6,210,0.00338478124454074,Low
108453,300.2,310.1,1440,43.4,41,0.00338478124454074,Low
24256,298.0,307.7,1591,34.4,11,0.00338478124454074,Low
119406,301.4,311.1,1398,51.4,135,0.00338478124454074,Low
42532,296.9,308.1,1372,49.9,64,0.00338478124454074,Low
13782,300.3,310.4,1486,29.2,39,0.00338478124454074,Low
99209,303.4,311.8,1434,46.3,78,0.00338478124454074,Low
95816,298.4,308.2,1444,46.9,11,0.00338478124454074,Low
63776,300.4,309.4,1413,41.8,101,0.00338478124454074,Low
57069,297.7,308.8,1419,47.3,186,0.00338478124454074,Low
110315,302.6,311.8,1773,27.1,21,0.00338478124454074,Low
126334,298.2,307.8,1540,39.2,181,0.00338478124454074,Low
134603,298.5,309.5,1435,35.4,33,0.00338478124454074,Low
94496,301.7,310.5,1466,43.1,7,0.00338478124454074,Low
136066,302.7,310.6,1670,34.0,2,0.00338478124454074,Low
102702,298.2,307.8,1551,35.0,70,0.00338478124454074,Low
51377,300.4,311.9,1434,41.8,12,0.00338478124454074,Low
59453,300.5,312.0,1491,41.2,124,0.00338478124454074,Low
134165,302.6,311.6,1669,29.0,137,0.00338478124454074,Low
33055,300.2,311.5,1513,40.8,157,0.00338478124454074,Low
25258,301.8,309.7,1598,30.4,59,0.00338478124454074,Low
26889,301.5,310.8,1487,45.5,129,0.00338478124454074,Low
76892,298.2,308.7,1452,43.9,33,0.00338478124454074,Low
33311,297.0,308.3,1372,54.0,137,0.00338478124454074,Low
71593,298.9,309.6,1518,39.2,2,0.00338478124454074,Low
84537,299.9,309.5,1483,40.0,168,0.00338478124454074,Low
128287,303.5,311.6,2183,17.8,143,0.00338478124454074,Low
112226,300.6,310.5,1475,47.0,100,0.00338478124454074,Low
120910,299.1,310.0,1435,45.6,208,0.00338478124454074,Low
127030,302.3,311.7,1452,45.8,9,0.00338478124454074,Low
105031,297.7,309.7,1435,41.8,219,0.00338478124454074,Low
52280,301.9,310.9,1341,54.0,141,0.00338478124454074,Low
59516,297.3,308.3,1530,38.2,54,0.00338478124454074,Low
57412,297.1,307.9,1499,37.1,119,0.00338478124454074,Low
4033,301.0,312.3,1525,35.6,192,0.00338478124454074,Low
61590,300.6,309.8,1517,38.2,130,0.00338478124454074,Low
82615,300.1,310.0,1511,54.2,186,0.00338478124454074,Low
124853,298.3,309.1,2035,16.6,90,0.00338478124454074,Low
47482,297.4,309.0,1478,40.7,159,0.00338478124454074,Low
101718,301.2,310.4,1296,55.6,114,0.00338478124454074,Low
58616,298.8,309.8,1447,44.5,70,0.00338478124454074,Low
82151,300.7,310.7,1727,27.7,210,0.00338478124454074,Low
134616,298.7,308.5,1483,42.5,0,0.00338478124454074,Low
83196,302.3,311.7,1484,43.7,212,0.00338478124454074,Low
3829,299.5,310.7,1716,28.5,146,0.00338478124454074,Low
28928,301.9,310.8,1627,31.3,79,0.00338478124454074,Low
86489,302.6,310.5,1647,28.7,16,0.00338478124454074,Low
65992,300.6,310.4,1489,43.2,17,0.00338478124454074,Low
111223,300.9,310.7,1557,33.7,101,0.00338478124454074,Low
105855,296.9,308.1,1441,47.9,60,0.00338478124454074,Low
20756,301.5,310.5,1636,28.7,59,0.00338478124454074,Low
47977,302.4,310.9,1818,26.7,125,0.00338478124454074,Low
35057,300.2,311.4,1368,49.7,32,0.00338478124454074,Low
134952,295.9,306.6,1479,40.5,117,0.00338478124454074,Low
85950,300.4,311.7,1388,39.6,135,0.00338478124454074,Low
91490,301.1,310.9,1268,67.2,20,0.00338478124454074,Low
44777,299.2,308.5,1316,50.4,181,0.00338478124454074,Low
11763,300.3,311.8,1771,25.9,178,0.00338478124454074,Low
39132,300.9,310.8,1695,35.5,188,0.00338478124454074,Low
79362,304.1,313.6,1556,38.9,15,0.00338478124454074,Low
53894,295.7,306.2,1408,48.0,134,0.00338478124454074,Low
92612,297.3,308.4,1511,36.7,13,0.00338478124454074,Low
11442,300.8,312.3,1389,44.4,17,0.00338478124454074,Low
68786,297.6,308.6,1462,46.6,12,0.00338478124454074,Low
16666,299.5,309.0,1434,44.2,176,0.00338478124454074,Low
37375,296.9,307.9,1456,43.4,168,0.00338478124454074,Low
38058,298.5,309.7,1629,30.3,99,0.00338478124454074,Low
78427,301.0,309.7,1465,45.8,143,0.00338478124454074,Low
3421,301.6,310.7,1417,54.6,131,0.00338478124454074,Low
8113,301.5,311.2,1606,33.5,76,0.00338478124454074,Low
75030,302.2,311.3,1522,40.6,20,0.00338478124454074,Low
1477,300.7,310.8,1469,38.9,127,0.00338478124454074,Low
121862,303.4,312.9,1386,56.9,9,0.00338478124454074,Low
62200,300.7,310.6,1626,34.2,60,0.00338478124454074,Low
100141,299.0,310.5,1474,44.1,149,0.00338478124454074,Low
53806,297.6,308.8,1645,34.5,181,0.00338478124454074,Low
3581,304.0,313.2,1452,39.0,121,0.00338478124454074,Low
45698,296.7,307.6,1467,43.7,150,0.00338478124454074,Low
110684,297.2,308.1,1466,45.3,145,0.00338478124454074,Low
7374,298.6,309.6,1426,44.7,0,0.00338478124454074,Low
110776,300.8,309.6,1546,42.3,119,0.00338478124454074,Low
41962,300.0,309.2,1375,22.6,135,0.00338478124454074,Low
25513,302.4,310.5,1479,36.2,104,0.00338478124454074,Low
29958,298.7,309.9,1457,47.2,188,0.00338478124454074,Low
107764,297.4,308.4,1551,33.9,142,0.00338478124454074,Low
85415,301.6,310.7,1524,38.3,105,0.00338478124454074,Low
82376,298.9,310.1,1510,38.0,59,0.00338478124454074,Low
65352,299.1,308.8,1499,40.0,209,0.00338478124454074,Low
24917,300.3,310.6,1433,48.1,85,0.00338478124454074,Low
98313,300.3,311.2,1381,50.6,136,0.00338478124454074,Low
129983,303.0,312.7,1737,28.8,120,0.00338478124454074,Low
78310,295.7,306.2,1489,39.4,151,0.00338478124454074,Low
4198,302.6,310.2,1548,34.3,14,0.00338478124454074,Low
65309,298.4,308.0,1517,40.2,101,0.00338478124454074,Low
60283,302.6,310.2,1420,44.0,18,0.00338478124454074,Low
101053,302.4,310.9,1558,31.0,192,0.00338478124454074,Low
103824,302.9,311.2,1494,46.7,66,0.00338478124454074,Low
81151,299.8,311.1,1376,47.6,22,0.00338478124454074,Low
22131,298.1,308.0,1420,39.9,98,0.00338478124454074,Low
34310,297.0,307.8,1524,40.6,85,0.00338478124454074,Low
100962,298.7,310.1,1510,35.0,42,0.00338478124454074,Low
96922,300.9,310.4,1608,31.8,30,0.00338478124454074,Low
20446,297.9,307.6,1304,52.1,180,0.00338478124454074,Low
8468,298.9,308.5,1559,34.3,64,0.00338478124454074,Low
83492,299.0,310.2,1570,34.0,9,0.00338478124454074,Low
110614,303.8,312.8,1467,40.7,146,0.00338478124454074,Low
70175,301.2,309.9,1695,30.5,5,0.00338478124454074,Low
111280,302.2,311.7,1316,44.6,13,0.00338478124454074,Low
126891,300.3,309.3,1411,44.5,173,0.00338478124454074,Low
71553,300.7,310.3,1828,26.0,213,0.00338478124454074,Low
105528,297.7,309.7,1591,37.7,173,0.00338478124454074,Low
70807,299.0,310.3,1487,39.9,78,0.00338478124454074,Low
113299,298.6,309.5,1399,55.8,142,0.00338478124454074,Low
52697,301.5,310.9,1517,41.2,155,0.00338478124454074,Low
64059,302.5,311.1,1486,39.6,122,0.00338478124454074,Low
84476,298.3,308.6,1539,39.9,126,0.00338478124454074,Low
21747,302.4,310.1,1450,46.9,204,0.00338478124454074,Low
50801,300.3,309.1,1460,39.2,203,0.00338478124454074,Low
69915,299.8,309.7,1550,33.2,0,0.00338478124454074,Low
13285,299.8,309.4,1567,43.4,51,0.00338478124454074,Low
90863,299.6,310.1,1653,24.9,166,0.00338478124454074,Low
16011,302.5,311.9,1298,49.9,57,0.00338478124454074,Low
101268,299.9,311.4,1378,50.1,171,0.00338478124454074,Low
85563,301.5,310.5,1560,33.1,135,0.00338478124454074,Low
64966,298.9,310.2,1583,32.6,230,0.00338478124454074,Low
23743,298.6,309.5,1529,42.2,127,0.00338478124454074,Low
119421,297.5,308.6,1728,33.5,94,0.00338478124454074,Low
