id,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],TWF,HDF,PWF,OSF,RNF,Machine failure
18670,L47891,L,297.5,308.7,1455,44.0,110,0,0,0,0,0,0
91967,L49993,L,300.0,309.2,1452,22.6,120,0,0,0,0,0,0
599,L54959,L,300.3,311.7,1528,41.5,193,0,0,0,0,0,0
46787,L50157,L,300.4,309.3,1413,50.3,94,0,0,0,0,0,0
117016,L50454,L,301.3,310.0,1477,31.4,0,0,0,0,0,0,0
116605,L47962,L,296.8,307.9,1543,38.4,7,0,0,0,0,0,0
122540,L53427,L,300.8,310.3,1611,34.9,170,0,0,0,0,0,0
96569,L54839,L,300.5,311.6,1544,38.0,123,0,0,0,0,0,0
114464,H38235,H,297.3,308.7,1413,48.8,130,0,0,0,0,0,0
62090,L48397,L,297.0,308.2,1491,37.1,122,0,0,0,0,0,0
91247,L53122,L,300.7,310.7,1632,30.6,64,0,0,0,0,0,0
124329,L53014,L,301.3,311.1,1551,34.8,104,0,0,0,0,0,0
31527,L48276,L,297.0,307.6,1680,35.8,74,0,0,0,0,0,0
86455,L54836,L,300.5,311.6,1541,47.8,57,0,0,0,0,0,0
78555,H30970,H,298.4,308.5,1398,47.1,15,0,0,0,0,0,0
86954,H38672,H,298.3,309.0,1708,28.1,0,0,0,0,0,0,0
80398,M20699,M,301.4,311.2,1541,40.0,58,0,0,0,0,0,0
8635,L51915,L,303.2,311.4,1465,42.4,0,0,0,0,0,0,0
49110,M17179,M,299.1,308.8,1634,33.5,98,0,0,0,0,0,0
44621,M16079,M,297.1,308.3,1474,42.4,127,0,0,0,0,0,0
128294,L53041,L,301.3,311.0,1470,42.7,84,0,0,0,0,0,0
71985,M19810,M,303.8,312.7,1408,47.0,181,0,0,0,0,0,0
31786,L54560,L,299.7,310.4,1380,49.3,99,0,0,0,1,0,1
130856,L54826,L,300.4,311.5,1609,31.7,131,0,0,0,0,0,0
29270,L55526,L,298.7,309.7,1601,35.7,92,0,0,0,0,0,0
85469,L47691,L,297.5,309.1,1720,30.4,22,0,0,0,0,0,0
128699,L56388,L,298.0,308.9,1406,28.7,76,0,0,0,0,0,0
42503,L55966,L,297.5,308.5,1446,50.7,49,0,0,0,0,0,0
21558,L54830,L,300.4,311.4,1496,47.3,142,0,0,0,0,0,0
34040,M20933,M,300.9,310.8,1536,40.0,162,0,0,0,0,0,0
46397,L51762,L,302.9,311.1,1438,49.1,186,0,0,0,0,0,0
96498,L49619,L,299.1,308.3,1693,31.6,65,0,0,0,0,0,0
75824,M22921,M,300.7,311.9,1448,43.4,25,0,0,0,0,0,0
127700,L48984,L,298.1,307.7,1844,23.6,148,0,0,0,0,0,0
33886,L53365,L,300.9,311.0,1555,36.7,28,0,0,0,0,0,0
129457,L49993,L,300.0,309.3,1371,50.6,120,0,0,0,0,0,0
101181,L47783,L,297.7,309.8,1450,45.9,31,0,0,0,0,0,0
71537,L51178,L,302.2,311.5,1434,39.3,19,0,0,0,0,0,0
98940,L50572,L,301.5,310.7,1408,47.3,77,0,0,0,0,0,0
128940,L50009,L,300.3,309.3,1325,51.5,162,0,0,0,0,0,0
126466,H35124,H,302.2,311.9,1657,31.7,147,0,0,0,0,0,0
54483,L54325,L,300.5,310.1,1774,25.9,152,0,0,0,0,0,0
127249,L48477,L,298.8,310.1,1455,41.5,117,0,0,0,0,0,0
119644,M21228,M,298.6,309.6,1423,48.7,67,0,0,0,0,0,0
69037,L52347,L,304.1,313.4,1892,22.6,63,0,0,0,0,0,0
93934,M14956,M,299.1,309.4,1432,42.9,70,0,0,0,0,0,0
47057,L55989,L,297.3,308.5,1526,36.6,90,0,0,0,0,0,0
9938,M19974,M,304.1,313.6,1612,35.2,136,0,0,0,0,0,0
81041,L54357,L,300.1,310.1,1530,40.1,146,0,0,0,0,0,0
80693,L49463,L,299.2,308.5,1587,34.3,98,0,0,0,0,0,0
75327,L55414,L,299.2,310.5,1488,40.9,74,0,0,0,0,0,0
26769,L53273,L,301.0,310.8,1400,47.1,20,0,0,0,0,0,0
37006,L50099,L,300.6,309.6,1726,30.0,162,0,0,0,0,0,0
81140,L47981,L,296.9,307.8,1610,37.4,100,0,0,0,0,0,0
95097,L53627,L,300.6,310.1,1337,45.8,15,0,0,0,0,0,0
92858,L56209,L,297.4,308.3,1483,39.9,23,0,0,0,0,0,0
76453,L56319,L,297.5,308.5,1517,36.9,181,0,0,0,0,0,0
46258,L51739,L,302.5,310.5,1591,37.3,15,0,0,0,0,0,0
135981,L49078,L,297.8,307.5,1372,54.1,168,0,0,0,0,0,0
46199,L53375,L,300.8,310.9,1478,37.1,51,0,0,0,0,0,0
13435,M20383,M,302.5,311.9,1524,34.8,86,0,0,0,0,1,0
82539,M18453,M,301.8,310.5,1887,22.4,204,0,0,0,0,0,0
4535,M16967,M,299.0,309.1,1642,28.3,59,0,0,0,0,0,0
10933,L48245,L,296.8,307.9,1494,37.2,148,0,0,0,0,0,0
5809,M15674,M,296.8,307.5,1470,35.0,132,0,0,0,0,0,0
3240,L51898,L,303.4,311.8,1736,32.4,187,0,0,0,0,0,0
29562,M19118,M,302.7,311.1,1841,21.6,2,0,0,0,0,0,0
68034,L56576,L,297.8,308.4,1498,47.3,166,0,0,0,0,0,0
128137,L50970,L,302.3,310.8,1749,25.4,5,0,0,0,0,0,0
81904,L49889,L,299.6,309.1,1612,35.8,177,0,0,0,0,0,0
105385,L47321,L,298.7,308.4,1544,51.0,159,0,0,0,0,0,0
92197,L56493,L,298.5,309.4,1433,43.1,101,0,0,0,0,0,0
34457,H39334,H,298.5,308.7,1476,43.6,164,0,0,0,0,0,0
127556,L52566,L,302.9,312.2,1492,42.0,218,0,0,0,0,0,0
125004,M17229,M,299.2,308.3,1368,55.5,0,0,0,0,0,0,0
89354,L51208,L,302.0,310.5,1495,39.2,177,0,0,0,0,0,0
27658,L53034,L,301.3,310.9,1501,53.3,49,0,0,0,0,0,0
515,L56664,L,298.9,309.6,1707,31.6,195,0,0,0,0,0,0
597,L49124,L,298.1,308.1,1442,42.8,63,0,0,0,0,0,0
129018,L53560,L,300.2,309.7,1412,55.0,102,0,0,0,0,0,0
99632,L54925,L,300.4,311.4,1313,56.8,162,0,0,0,0,0,0
8383,L49319,L,299.3,309.0,1629,31.3,156,0,0,0,0,0,0
121317,H31770,H,299.3,308.5,1422,46.9,68,0,0,0,0,0,0
82367,L55579,L,298.6,309.7,1671,30.3,124,0,0,0,0,0,0
58725,M22482,M,300.6,311.3,1473,31.5,69,0,0,0,0,0,0
110420,L53701,L,301.1,310.1,1408,40.4,40,0,0,0,0,0,0
42582,L54543,L,299.5,310.0,1412,49.2,51,0,0,0,0,0,0
28558,M22921,M,300.2,311.6,1465,37.6,197,0,0,0,0,0,0
110228,H34091,H,303.5,311.6,1567,33.8,148,0,0,0,0,0,0
134537,L49834,L,299.8,309.4,1565,36.4,171,0,0,0,0,0,0
82274,L53235,L,300.7,310.8,1475,42.0,150,0,0,0,0,0,0
50465,L49270,L,299.5,309.2,1393,47.9,20,0,0,0,0,0,0
114166,L53537,L,300.0,309.6,1498,44.8,39,0,0,0,0,0,0
90926,L55806,L,297.4,308.4,1402,49.7,65,0,0,0,0,0,0
88527,M23787,M,297.4,308.4,1420,45.9,204,0,0,0,0,0,0
84251,L53423,L,301.0,310.5,1393,50.3,175,0,0,0,0,0,0
83257,L52614,L,302.6,312.4,1455,44.0,76,0,0,0,0,0,0
10959,L54388,L,299.8,309.7,1477,42.2,94,0,0,0,0,0,0
121533,M21583,M,301.4,310.6,1387,46.1,110,0,0,0,0,0,0
69002,L54170,L,300.7,311.1,1288,52.4,160,0,0,0,0,0,0
51719,L50708,L,302.0,310.9,1551,38.6,2,0,0,0,0,0,0
85044,L48223,L,296.5,307.6,1496,38.3,35,0,0,0,0,0,0
66844,L52162,L,303.7,313.0,1811,24.3,119,0,0,0,0,0,0
48798,L48427,L,297.2,308.5,1582,37.9,204,0,0,0,0,0,0
94788,L54275,L,300.6,310.1,1485,47.3,17,0,0,0,0,0,0
105307,M18590,M,302.3,311.2,1455,43.7,71,0,0,0,0,0,0
9060,L55796,L,297.6,308.6,1569,34.3,13,0,0,0,0,0,0
63232,M21193,M,300.4,309.9,1415,31.8,173,0,0,0,0,0,0
68475,L49854,L,299.7,309.5,1619,31.8,142,0,0,0,0,0,0
101335,L56553,L,297.7,308.5,1553,38.5,86,0,0,0,0,0,0
96373,L49646,L,298.9,308.5,1474,52.6,126,0,0,0,0,0,0
102958,M21405,M,301.4,310.7,1567,36.4,204,0,0,0,0,0,0
31239,L53140,L,300.5,310.7,1547,36.8,105,0,0,0,0,0,0
19841,L54255,L,300.7,310.5,1843,27.1,192,0,0,0,0,0,0
122738,L51501,L,301.7,310.2,1686,36.0,59,0,0,0,0,0,0
89438,M18248,M,301.7,310.9,1466,35.7,65,0,0,0,0,0,0
104684,L56374,L,297.9,308.9,1393,40.6,126,0,0,0,0,0,0
82593,M18813,M,302.2,311.3,1430,45.1,17,0,0,0,0,0,0
85102,L56272,L,297.3,308.1,1542,35.9,194,0,0,0,0,0,0
109483,M22584,M,300.8,311.7,1454,42.2,157,0,0,0,0,0,0
96837,M23035,M,299.7,310.8,1346,57.4,171,0,0,0,0,0,0
135547,L55737,L,298.2,309.0,1471,49.4,139,0,0,0,0,0,0
127032,L50646,L,301.7,310.7,1457,56.9,62,0,0,0,0,0,0
69835,M15566,M,297.9,309.0,1723,26.8,0,0,0,0,0,0,0
85247,M22526,M,300.5,311.7,1530,35.5,131,0,0,0,0,0,0
90311,L55952,L,297.5,308.6,1520,28.9,0,0,0,0,0,0,0
105114,H33150,H,302.5,311.5,1730,29.7,64,0,0,0,0,0,0
39740,L50030,L,300.2,309.6,1771,22.6,39,0,0,0,0,0,0
76378,L50377,L,300.0,309.0,1403,45.7,9,0,0,0,0,0,0
60181,L48208,L,296.3,307.4,1541,39.9,51,0,0,0,0,0,0
20376,L53648,L,300.4,309.7,1383,51.1,147,0,0,0,0,0,0
129517,L55899,L,297.2,308.8,1451,38.6,0,0,0,0,0,0,0
27475,L50950,L,302.3,311.0,1609,31.0,127,0,0,0,0,0,0
105314,L51403,L,301.9,310.9,1486,41.6,37,0,0,0,0,0,0
26401,L50341,L,300.4,309.8,1314,42.4,146,0,0,0,0,0,0
71171,L51116,L,302.3,311.5,1395,44.0,134,0,0,0,0,0,0
122974,L56332,L,297.5,308.5,1442,46.7,137,0,0,0,0,0,0
120830,L50996,L,302.1,310.6,1412,46.9,93,0,0,0,0,0,0
53010,L53957,L,301.2,310.7,1486,41.3,5,0,0,0,0,0,0
30441,M15226,M,297.5,308.6,1552,42.4,68,0,0,0,0,0,0
1418,L55983,L,297.4,308.5,1557,48.6,75,0,0,0,0,0,0
79875,L50586,L,301.2,310.4,1951,21.4,114,0,0,0,0,0,0
132028,L47792,L,298.8,309.9,1563,29.0,51,0,0,0,0,0,0
67391,L51827,L,303.3,311.4,1312,51.6,196,0,0,0,0,0,0
104975,L55040,L,300.5,312.0,1415,44.6,98,0,0,0,0,0,0
30909,L51940,L,303.6,311.7,1451,42.4,62,0,0,0,0,0,0
29468,M20809,M,300.7,310.8,1501,44.4,101,0,0,0,0,0,0
85894,M20954,M,300.9,310.8,1389,48.1,22,0,0,0,0,0,0
11523,L53658,L,300.5,309.7,1379,48.8,145,0,0,0,0,0,0
36455,L55656,L,298.5,309.7,1525,38.1,83,0,0,0,0,0,0
94793,L56258,L,297.3,308.1,1329,35.7,156,0,0,0,0,0,0
45746,L47891,L,297.5,308.6,1389,46.2,54,0,0,0,0,0,0
109746,M19312,M,302.5,310.3,1447,44.6,172,0,0,0,0,0,0
61242,L53070,L,301.4,311.0,1634,45.7,155,0,0,0,0,0,0
68529,M18412,M,301.7,310.6,1437,41.3,56,0,0,0,0,0,0
1065,H36996,H,300.4,311.2,1489,39.2,180,0,0,0,0,0,0
81198,L54373,L,300.1,310.1,1485,47.6,57,0,0,0,0,0,0
32255,L48973,L,298.3,307.8,1366,52.1,76,0,0,0,0,0,0
29820,L47765,L,297.6,309.6,1498,37.5,220,0,0,0,0,0,0
133841,L54469,L,300.4,310.6,1393,53.8,5,0,0,0,0,0,0
53818,L56260,L,297.2,308.1,1740,26.1,0,0,0,0,0,0,0
56387,M24261,M,297.7,308.1,1712,25.6,174,0,0,0,0,0,0
98812,L49268,L,299.2,308.5,1326,47.3,170,0,0,0,0,0,0
11181,M24620,M,298.5,309.6,1509,34.3,2,0,0,0,0,0,0
127311,L54079,L,300.9,311.6,1374,40.7,125,0,0,0,0,0,0
135831,L54429,L,300.0,310.1,1547,44.7,139,0,0,0,0,0,0
123450,L54996,L,299.8,311.2,1377,53.6,143,0,0,0,1,0,1
18061,L56719,L,299.6,310.9,1462,38.5,109,0,0,0,0,0,0
16613,M24285,M,298.1,308.8,1474,47.0,23,0,0,0,0,0,0
25565,L53308,L,300.9,311.0,1499,33.0,111,0,0,0,0,0,0
84986,M15967,M,296.8,307.7,1498,36.2,56,0,0,0,0,0,0
97559,L50462,L,301.2,309.5,1461,45.4,21,0,0,0,0,0,0
118380,L56073,L,297.5,308.7,1371,48.2,121,0,0,0,0,0,0
10369,L53353,L,300.8,310.7,1548,34.3,0,0,0,0,0,0,0
47753,L53109,L,300.3,310.2,1463,51.0,43,0,0,0,0,0,0
37101,M18394,M,302.0,311.2,1435,48.0,2,0,0,0,0,0,0
126162,L50961,L,302.3,310.8,1526,37.8,9,0,0,0,0,0,0
135998,L50014,L,300.3,309.3,1621,32.6,171,0,0,0,0,0,0
82859,L56413,L,298.3,308.9,1526,37.5,119,0,0,0,0,0,0
136292,L47286,L,298.9,308.7,1545,38.5,70,0,0,0,0,0,0
54884,L52554,L,303.6,312.9,1389,51.0,176,0,0,0,0,0,0
7442,M23706,M,297.4,308.9,1449,40.5,204,1,0,0,1,0,1
48117,M21605,M,301.7,311.1,1657,30.8,104,0,0,0,0,0,0
119543,L47584,L,297.4,308.4,1530,42.9,184,0,0,0,0,0,0
37419,M18413,M,301.8,310.7,1420,45.8,76,0,0,0,0,0,0
127932,L47943,L,296.8,307.8,1400,41.4,3,0,0,0,0,0,0
130133,H34755,H,302.4,311.8,1413,47.3,134,0,0,0,0,0,0
74454,L56612,L,298.0,308.7,1510,42.1,107,0,0,0,0,0,0
83470,L51762,L,302.8,311.2,1650,35.8,71,0,0,0,0,0,0
80904,M16777,M,298.0,307.9,1510,38.5,104,0,0,0,0,0,0
1109,M17851,M,300.6,309.4,1737,28.9,74,0,0,0,0,0,0
85518,L52967,L,301.7,311.3,1584,38.7,132,0,0,0,0,0,0
103784,H38235,H,297.4,308.8,1654,33.8,127,0,0,0,0,0,0
35114,M17359,M,299.1,308.6,1367,53.0,220,0,0,0,0,0,0
116070,L55142,L,301.0,312.2,1485,44.1,55,0,0,0,0,0,0
134051,L52752,L,302.4,312.0,1455,42.3,12,0,0,0,0,0,0
21014,H30117,H,297.7,308.9,1305,54.6,83,0,0,0,0,0,0
18596,L53078,L,301.4,311.0,1471,44.8,137,0,0,0,0,0,0
70636,L52330,L,304.2,313.4,1590,48.6,17,0,0,0,0,0,0
68525,L55559,L,298.8,309.9,1450,31.9,49,0,0,0,0,0,0
17327,M23233,M,298.7,309.7,1501,36.0,192,0,0,0,0,0,0
70505,L49734,L,299.3,309.1,1491,40.8,185,0,0,0,0,0,0
115253,L48962,L,298.4,308.0,1758,24.1,0,0,0,0,0,0,0
127327,L55469,L,298.9,310.6,1507,40.3,68,0,0,0,0,0,0
133369,L47452,L,298.1,308.1,1436,40.4,59,0,0,0,0,0,0
125701,L48397,L,296.9,307.9,1831,27.4,153,0,0,0,0,0,0
67014,L49870,L,300.0,309.5,1366,26.0,37,0,0,0,0,0,0
74020,L56874,L,298.9,310.0,1484,38.2,47,0,0,0,0,0,0
59582,L55263,L,300.2,311.6,1457,42.2,16,0,0,0,0,0,0
41524,L52454,L,303.9,312.9,1406,50.9,175,0,0,0,0,0,0
121316,L51460,L,302.1,310.0,1418,50.9,176,0,0,0,0,0,0
101309,L50964,L,302.3,311.0,1265,59.7,16,0,1,0,0,0,1
124373,M21659,M,301.1,310.7,1608,34.8,100,0,0,0,0,0,0
21733,L48786,L,297.8,307.7,1696,27.9,25,0,0,0,0,0,0
78098,L48141,L,295.8,306.5,1426,40.5,90,0,0,0,0,0,0
63381,L48693,L,298.1,308.7,1371,59.8,197,0,0,0,1,0,1
130514,L53258,L,300.8,310.7,1564,36.7,168,0,0,0,0,0,0
8265,L53078,L,301.0,310.7,1379,57.2,131,0,0,0,0,0,0
3901,L53809,L,301.6,310.6,1397,27.3,124,0,0,0,0,0,0
35426,L50194,L,300.5,309.8,1537,33.3,194,0,0,0,0,0,0
97490,M19148,M,301.7,310.0,1517,46.4,217,0,0,0,0,0,0
19713,L49879,L,299.7,309.2,1494,37.5,2,0,0,0,0,0,0
22306,L47742,L,297.5,309.5,1377,30.9,151,0,0,0,0,0,0
111314,L54308,L,300.6,309.8,1511,36.9,175,0,0,0,0,0,0
72091,L53965,L,301.2,310.6,1465,45.3,26,0,0,0,0,0,0
47720,L56137,L,297.4,308.1,1435,46.8,70,0,0,0,0,0,0
85041,L49683,L,299.2,309.1,1408,44.3,22,0,0,0,0,0,0
84747,M19954,M,304.1,313.2,2028,18.9,49,0,0,0,0,0,0
24033,H36889,H,300.3,311.6,1339,53.4,166,0,0,0,0,0,0
107270,L53886,L,301.4,310.6,1481,38.5,70,0,0,0,0,0,0
132521,M20373,M,302.2,311.9,1823,23.7,129,0,0,0,0,0,0
79712,L47693,L,297.4,309.3,1428,36.0,26,0,0,0,0,0,0
10052,L55619,L,298.6,310.0,1517,42.0,150,0,0,0,0,0,0
108694,M24593,M,298.9,309.2,1356,56.5,2,0,0,0,0,0,0
86119,M21157,M,301.0,310.4,1541,38.4,100,0,0,0,0,0,0
108795,L48331,L,297.0,307.9,1491,43.8,168,0,0,0,0,0,0
88497,M16098,M,297.1,308.4,1455,41.1,184,0,0,0,0,0,0
80994,L47739,L,297.5,309.4,1492,40.2,144,0,0,0,0,0,0
9886,L52897,L,302.3,312.0,1402,47.8,167,0,0,0,0,0,0
96761,L54626,L,300.2,311.8,1388,47.1,47,0,0,0,0,0,0
70556,L53273,L,301.0,310.8,1375,31.5,23,0,0,0,0,0,0
120545,L51769,L,303.0,311.2,1456,50.6,20,0,0,0,0,0,0
74478,L48591,L,298.9,310.1,1462,45.2,192,0,0,0,0,0,0
32805,L54315,L,300.8,309.9,1548,36.1,122,0,0,0,0,0,0
62257,L49518,L,299.3,308.3,1723,28.3,4,0,0,0,0,0,0
126929,L56733,L,299.3,310.5,1401,48.1,139,0,0,0,0,0,0
60425,L53984,L,301.0,310.9,1587,35.7,127,0,0,0,0,0,0
79929,L54170,L,300.7,311.1,1418,47.1,170,0,0,0,0,0,0
46468,L48497,L,299.0,309.9,1429,41.6,141,0,0,0,0,0,0
73478,L52893,L,302.2,311.9,1556,38.0,0,0,0,0,0,0,0
135983,L51681,L,302.3,310.2,1349,51.6,86,0,0,0,0,0,0
6345,L54365,L,300.3,310.4,1486,38.6,198,0,0,0,0,0,0
88766,L53296,L,300.8,310.9,1453,43.4,0,0,0,0,0,0,0
89713,L50950,L,302.3,311.0,1438,31.0,30,0,0,0,0,0,0
80180,L49665,L,299.1,308.8,1397,45.8,187,0,0,0,0,0,0
132708,L53387,L,300.9,310.8,1513,38.0,82,0,0,0,0,0,0
31559,M24445,M,299.4,310.0,1404,47.3,19,0,0,0,0,0,0
96120,L54970,L,300.1,311.4,1511,35.8,71,0,0,0,0,0,0
53184,M17384,M,298.8,308.5,1365,48.2,46,0,0,0,0,0,0
18627,L53265,L,300.9,310.6,1484,43.2,0,0,0,0,0,0,0
93567,L56333,L,297.5,308.6,1607,33.8,139,0,0,0,0,0,0
120585,L55956,L,297.5,308.6,1462,45.1,12,0,0,0,0,0,0
68253,L48730,L,298.4,308.9,1638,32.4,146,0,0,0,0,0,0
87026,L52915,L,302.3,311.8,1657,32.7,210,0,0,0,0,0,0
80012,H39274,H,298.5,309.5,1523,37.4,85,0,0,0,0,0,0
62734,M22680,M,299.8,311.2,2116,17.6,148,0,0,0,0,0,0
23204,L56383,L,297.8,308.8,1629,31.7,66,0,0,0,0,0,0
45546,L53846,L,301.3,310.4,1424,44.4,199,0,0,0,0,0,0
123409,L54990,L,300.0,311.5,1430,43.8,123,0,0,0,0,0,0
53543,M16101,M,298.1,307.9,1517,39.2,7,0,0,0,0,0,0
69255,L49494,L,299.2,308.9,1568,39.8,175,0,0,0,0,0,0
97421,M22538,M,300.6,311.7,1389,53.6,210,0,0,0,0,0,0
108453,L53106,L,300.2,310.1,1440,43.4,41,0,0,0,0,0,0
24256,L49103,L,298.0,307.7,1591,34.4,11,0,0,0,0,0,0
119406,L53063,L,301.4,311.1,1398,51.4,135,0,0,0,0,0,0
42532,M15648,M,296.9,308.1,1372,49.9,64,0,0,0,0,0,0
13782,L54365,L,300.3,310.4,1486,29.2,39,0,0,0,0,0,0
99209,L52027,L,303.4,311.8,1434,46.3,78,0,0,0,0,0,0
95816,L49181,L,298.4,308.2,1444,46.9,11,0,0,0,0,0,0
63776,L50157,L,300.4,309.4,1413,41.8,101,0,0,0,0,0,0
57069,L56349,L,297.7,308.8,1419,47.3,186,0,0,0,0,0,0
110315,L51058,L,302.6,311.8,1773,27.1,21,0,0,0,0,0,0
126334,L48846,L,298.2,307.8,1540,39.2,181,0,0,0,0,0,0
134603,M16335,M,298.5,309.5,1435,35.4,33,0,0,0,0,0,0
94496,L50781,L,301.7,310.5,1466,43.1,7,0,0,0,0,0,0
136066,L51651,L,302.7,310.6,1670,34.0,2,0,0,0,0,0,0
102702,L48891,L,298.2,307.8,1551,35.0,70,0,0,0,0,0,0
51377,L55125,L,300.4,311.9,1434,41.8,12,0,0,0,0,0,0
59453,L55255,L,300.5,312.0,1491,41.2,124,0,0,0,0,0,0
134165,M18794,M,302.6,311.6,1669,29.0,137,0,0,0,0,0,0
33055,M22952,M,300.2,311.5,1513,40.8,157,0,0,0,0,0,0
25258,L51526,L,301.8,309.7,1598,30.4,59,0,0,0,0,0,0
26889,L53060,L,301.5,310.8,1487,45.5,129,0,0,0,0,0,0
76892,L56532,L,298.2,308.7,1452,43.9,33,0,0,0,0,0,0
33311,L48403,L,297.0,308.3,1372,54.0,137,0,0,0,0,0,0
71593,M24348,M,298.9,309.6,1518,39.2,2,0,0,0,0,0,0
84537,L49834,L,299.9,309.5,1483,40.0,168,0,0,0,0,0,0
128287,L51880,L,303.5,311.6,2183,17.8,143,0,0,0,0,0,0
112226,L54222,L,300.6,310.5,1475,47.0,100,0,0,0,0,0,0
120910,L56838,L,299.1,310.0,1435,45.6,208,0,0,0,0,0,0
127030,L52726,L,302.3,311.7,1452,45.8,9,0,0,0,0,0,0
105031,L47850,L,297.7,309.7,1435,41.8,219,0,0,0,0,0,0
52280,M18390,M,301.9,310.9,1341,54.0,141,0,0,0,0,0,0
59516,M15279,M,297.3,308.3,1530,38.2,54,0,0,0,0,0,0
57412,L56176,L,297.1,307.9,1499,37.1,119,0,0,0,0,0,0
4033,M22840,M,301.0,312.3,1525,35.6,192,0,0,0,0,0,0
61590,M17801,M,300.6,309.8,1517,38.2,130,0,0,0,0,0,0
82615,L54339,L,300.1,310.0,1511,54.2,186,0,0,0,0,0,0
124853,L56488,L,298.3,309.1,2035,16.6,90,0,0,0,0,0,0
47482,L47658,L,297.4,309.0,1478,40.7,159,0,0,0,0,0,0
101718,L50474,L,301.2,310.4,1296,55.6,114,0,0,0,0,0,0
58616,L55510,L,298.8,309.8,1447,44.5,70,0,0,0,0,0,0
82151,M21068,M,300.7,310.7,1727,27.7,210,0,0,0,0,0,0
134616,L49197,L,298.7,308.5,1483,42.5,0,0,0,0,0,0,0
83196,L52915,L,302.3,311.7,1484,43.7,212,0,0,0,0,0,0
3829,M23010,M,299.5,310.7,1716,28.5,146,0,0,0,0,0,0
28928,L50660,L,301.9,310.8,1627,31.3,79,0,0,0,0,0,0
86489,L51658,L,302.6,310.5,1647,28.7,16,0,0,0,0,0,0
65992,L54276,L,300.6,310.4,1489,43.2,17,0,0,0,0,0,0
111223,L53345,L,300.9,310.7,1557,33.7,101,0,0,0,0,0,0
105855,L47966,L,296.9,308.1,1441,47.9,60,0,0,0,0,0,0
20756,L50497,L,301.5,310.5,1636,28.7,59,0,0,0,0,0,0
47977,M18687,M,302.4,310.9,1818,26.7,125,0,0,0,0,0,0
35057,L55304,L,300.2,311.4,1368,49.7,32,0,0,0,0,0,0
134952,L48153,L,295.9,306.6,1479,40.5,117,0,0,0,0,0,0
85950,L54925,L,300.4,311.7,1388,39.6,135,0,0,0,0,0,0
91490,L54006,L,301.1,310.9,1268,67.2,20,0,0,1,0,0,1
44777,L49449,L,299.2,308.5,1316,50.4,181,0,0,0,0,0,0
